Feature,Importance
grade,0.30390309919934316
sqft_living,0.29107075937743926
lat,0.1691120009953047
long,0.07289528957894491
house_age,0.03522168381285396
waterfront,0.030713257429292578
total_sqft,0.029074115944204795
view,0.01897533785435869
sqft_above,0.018781408219233926
sqft_lot,0.013073730829573586
bathrooms,0.004416970429079296
sqft_basement,0.0032323884379792047
condition,0.0028010289717357085
rooms_total,0.002794722197291107
floors,0.0018689083434463487
bedrooms,0.0010644739389047634
was_renovated,0.001000824441013875
